tickerSymbol,trailingPE,priceToSales,priceToCashFlow,priceToFreeCashFlow,priceToBook,divYield
PME,59.93,95.92,141.83,181.17,59.33,0.47
ACAD,9.81,4.2,-681.97,42.81,3.71,
ACFN,19.83,3.29,,18.15,4.58,
ADMA,17.09,8.48,44.89,155.54,9.09,
AGI,15.64,9.1,14.88,54.29,4.06,0.39
AGX,68.81,5.07,25.26,11.65,10.48,0.32
AMAT,40.39,7.25,24.04,33.04,9.39,0.55
ANET,62.58,18.32,41.18,38.79,13.31,
APH,42.33,5.97,28.17,33.41,11.11,0.67
APP,44.36,41.7,30.55,71.45,106.79,
APPF,39.78,5.67,369.97,24.05,11.87,
ASML,47.71,14.26,45.14,52.94,23.36,0.63
ATAT,23.43,3.94,23.74,20.17,10.54,2.06
AU,18.11,4.35,43.16,12.89,5.32,3.94
AVGO,81.46,22.93,31.82,54.15,19.64,0.64
AWI,24.17,4.3,17.01,29.7,7.86,0.8
BLBD,16.19,1.1,13.91,10.17,6.1,
BOOT,24.06,2.73,12.9,65.91,4.6,
CAMT,204.98,9.78,48.95,88.85,7.9,0.77
CLS,48.91,2.37,11.61,66.63,15.47,
COCO,48.1,4.15,23.47,42.31,7.77,
CPRX,16.64,4.82,17.97,13.62,3.0,
CRDO,96.71,20.72,54.26,78.03,12.48,
CVLT,62.19,2.87,82.2,14.31,447.42,
CXDO,39.12,2.78,88.4,20.44,3.14,0.37
DECK,14.44,2.83,29.63,16.38,5.65,
DRD,12.78,5.11,7.96,29.8,4.14,2.24
DT,60.04,6.75,74.26,28.0,4.72,
ECG,37.43,1.16,,48.47,6.93,
EME,29.87,1.86,19.65,30.54,8.49,0.19
ENSG,31.97,1.97,24.06,26.94,4.5,0.14
ERO,9.98,3.71,22.95,25.94,3.15,
EXLS,20.44,2.22,24.16,16.17,5.98,
FIX,53.1,4.78,23.93,35.06,17.21,0.19
FN,65.46,4.23,22.11,160.77,7.53,
FTNT,34.81,8.82,42.81,26.94,47.68,
GRDN,47.77,1.31,,23.6,9.26,
HALO,25.6,5.8,13.41,12.58,162.39,
HMY,10.62,2.66,5.42,19.41,3.97,2.09
IDCC,27.91,9.39,11.01,13.44,7.04,0.79
IDR,19.72,1.54,11.89,19.92,4.92,0.61
IESC,38.3,2.21,13.23,43.97,8.07,
INOD,46.54,6.44,39.62,45.48,15.38,
INTA,,6.84,-101.85,34.39,8.96,
INTU,25.17,6.91,49.91,20.2,7.27,1.21
IRMD,47.71,14.79,29.66,72.16,13.14,0.95
ISRG,55.53,15.5,68.24,57.85,9.35,
KARO,26.39,4.72,12.66,50.71,7.48,2.51
KGC,1.23,0.0,-20.29,-41.99,4.76,
KLAC,49.53,14.77,29.07,48.25,33.06,0.42
LAUR,15.94,2.91,9.87,19.16,4.73,3.34
LFMD,,0.65,-17.0,23.77,6.87,
LIF,74.0,30.42,0.0,171.47,27.86,
LLY,33.2,11.57,65.01,93.17,,0.81
LRCX,48.71,13.56,33.01,48.98,27.63,0.42
MA,29.1,13.2,35.22,25.2,65.96,0.66
MGRC,17.54,2.86,19.82,26.46,2.19,1.67
MPWR,125.62,15.68,73.81,65.67,12.5,0.52
MU,24.41,8.02,56.55,45.35,6.46,0.12
NBIX,28.27,4.95,25.23,18.9,4.36,
NOW,52.51,7.78,105.33,23.44,9.19,
NTNX,4442.0,3.93,-25526.44,13.58,-12.57,
NVMI,62.5,11.39,35.72,46.01,7.92,
NVO,11.91,4.74,324.21,24.69,7.42,4.58
NXT,30.44,3.57,25.17,21.9,6.01,
OPXS,16.6,2.34,13.15,29.06,4.0,
PINS,31.96,4.11,181.33,13.86,3.63,
PODD,49.15,7.38,37.81,52.9,13.2,
POWL,54.02,3.46,14.94,23.86,5.79,0.14
PRIM,36.0,0.88,9.18,19.65,3.99,0.19
PSIX,14.84,1.82,,93.03,7.37,
SMID,14.39,2.06,110.1,38.84,3.55,0.45
SN,23.39,2.46,29.09,32.27,5.9,
SPXC,43.48,4.25,30.15,39.91,4.46,
STRL,54.99,3.77,16.24,25.9,8.48,
TGLS,12.63,2.35,13.02,66.91,3.16,1.41
TGTX,,6.95,,-172.86,,
TMDX,20.75,6.82,121.63,30.91,8.81,
TSM,33.2,13.15,15.6,51.47,9.51,1.01
TTD,26.37,6.37,239.93,23.19,7.27,
UBER,15.82,3.28,292.94,17.47,6.25,
UFPT,21.83,2.83,32.41,21.63,4.04,
UI,68.99,11.26,19.0,47.86,32.96,0.33
USLM,23.72,10.11,16.3,36.51,5.66,0.19
UTI,39.05,1.67,20.61,86.02,4.28,
VITL,9.48,1.91,21.47,-30.11,4.17,
VMD,26.87,1.06,18.22,24.02,2.0,
VRT,82.55,8.84,45.91,42.03,22.67,0.08
WGS,2217.49,8.71,-2.34,261.1,12.34,
XPEL,25.79,2.9,25.63,21.91,4.92,
YOU,47.81,3.81,42.77,10.01,19.41,1.5
